Date,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Solar Generation (MW),Solar hours (h),Solar Prognose (Day-Ahead D-1 18:00),Solar_diff,Solar_Prognose_diff,Monthly_Avg_Price,Price (EUR/MWhe)_y,GPRHC_DEU,GPRHC_RUS,GPRHC_UKR,GPRHC_USA
July 2017,159230327.0,162072710.0,19545352.0,196.3,19532580.2,142366771.1,139689890.0,33.01,33.005806451612905,0.6796116232872009,1.7198336124420166,0.5686546564102173,3.1206657886505127
August 2017,155627962.0,160675628.0,18411149.0,206.5,18510427.1,142111245.2,137124640.70000002,30.86,30.85516129032258,0.4686834216117859,1.2072148323059082,0.19883538782596588,3.8630876541137695
September 2017,152484754.0,159870244.0,12317145.0,121.1,12612170.1,147288737.20000002,139820426.4,34.3,34.29766666666667,0.35650622844696045,1.5494309663772583,0.31537091732025146,3.4005210399627686
October 2017,163110205.0,169879488.0,8521266.0,97.1,8179447.3,160831523.20000002,154814137.5,28.29,28.28903225806452,0.43976545333862305,0.799573540687561,0.10660980641841888,2.7452025413513184
November 2017,171254798.0,176817366.0,3324124.0,38.9,3668560.1,173095978.5,167617746.5,40.38,40.37966666666667,0.24278777837753296,0.7283633351325989,0.19994287192821503,2.1850900650024414
December 2017,173526282.0,179109177.0,1981664.0,27.8,2121998.5,176528424.60000002,171357260.9,30.71,30.71,0.1452854871749878,0.8717129230499268,0.1743425875902176,2.28098201751709
January 2018,179797650.0,186057461.0,2920558.0,33.2,2770564.8,182975188.9,177077106.39999998,29.5,29.501612903225805,0.30138638615608215,1.039783000946045,0.1054852306842804,2.456299066543579
February 2018,165817790.0,171836574.0,7321978.0,113.7,7381050.0,164420546.4,158465365.8,40.12,40.1225,0.2605763375759125,0.919681191444397,0.12262415885925293,2.0846107006073
March 2018,177922815.0,184054004.0,10815662.0,112.6,10318586.9,173265330.0,167690452.29999998,37.36,37.35935483870968,0.5132473111152649,1.3871549367904663,0.38840338587760925,2.7326953411102295
April 2018,154310036.0,160888536.0,19348181.0,225.6,19189125.9,141537790.9,135135715.2,31.96,31.96066666666667,0.3896103799343109,1.284271240234375,0.20202019810676575,2.7561328411102295
May 2018,156966087.0,162179481.0,23725915.0,287.7,23808448.3,138460660.5,133147507.6,33.66,33.6583870967742,0.6840530037879944,0.9833261966705322,0.09975773096084595,2.992732048034668
June 2018,157397799.0,161299928.0,21349288.0,218.2,21377038.4,139922670.6,136018002.5,42.39,42.39366666666667,0.4405912458896637,0.8953951001167297,0.31267765164375305,2.771461009979248
July 2018,161983045.0,163775618.0,24667595.0,311.4,24876241.8,139164279.79999998,137159371.1,49.59,49.59064516129032,0.42224809527397156,1.0046592950820923,0.32032614946365356,2.475247621536255
