"Area","MTU","Solar  - Actual Aggregated [MW]"
"Germany (DE)","03.01.2024 00:00 - 03.01.2024 00:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 00:15 - 03.01.2024 00:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 00:30 - 03.01.2024 00:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 00:45 - 03.01.2024 01:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 01:00 - 03.01.2024 01:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 01:15 - 03.01.2024 01:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 01:30 - 03.01.2024 01:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 01:45 - 03.01.2024 02:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 02:00 - 03.01.2024 02:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 02:15 - 03.01.2024 02:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 02:30 - 03.01.2024 02:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 02:45 - 03.01.2024 03:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 03:00 - 03.01.2024 03:15 (CET/CEST)","3"
"Germany (DE)","03.01.2024 03:15 - 03.01.2024 03:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 03:30 - 03.01.2024 03:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 03:45 - 03.01.2024 04:00 (CET/CEST)","2"
"Germany (DE)","03.01.2024 04:00 - 03.01.2024 04:15 (CET/CEST)","2"
"Germany (DE)","03.01.2024 04:15 - 03.01.2024 04:30 (CET/CEST)","2"
"Germany (DE)","03.01.2024 04:30 - 03.01.2024 04:45 (CET/CEST)","2"
"Germany (DE)","03.01.2024 04:45 - 03.01.2024 05:00 (CET/CEST)","3"
"Germany (DE)","03.01.2024 05:00 - 03.01.2024 05:15 (CET/CEST)","2"
